canonical_player_key,fplreview_id,fplreview_name,fplreview_team,fpl_position,statfootdb_player_id,statfootdb_player_name,match_method,match_score,identity_status,understat_player_id,understat_player_name,identity_source,allocation_source
fplreview:306,306,Greaves,IPS,DEF,1079103.0,Jacob Greaves,surname_or_fuzzy_team,0.93,statfootdb_matched,12745.0,Jacob Greaves,statfootdb,understat_np_xg
fplreview:324,324,Mehmeti,IPS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:318,318,Philogene,IPS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:309,309,Núñez,IPS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:321,321,Walle Egeli,IPS,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:313,313,Clarke,IPS,MID,914402.0,Jack Clarke,surname_or_fuzzy_team,0.93,statfootdb_matched,13019.0,Jack Clarke,statfootdb,understat_np_xg
fplreview:310,310,Matusiwa,IPS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:303,303,Kipré,IPS,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:307,307,Johnson,IPS,DEF,770267.0,Ben Johnson,surname_or_fuzzy_team,0.93,statfootdb_matched,6424.0,Ben Johnson,statfootdb,understat_np_xg
fplreview:312,312,Taylor,IPS,MID,789507.0,Jack Taylor,surname_or_fuzzy_team,0.93,statfootdb_matched,12754.0,Jack Taylor,statfootdb,understat_np_xg
fplreview:323,323,McAteer,IPS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:320,320,Akpom,IPS,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:317,317,Hirst,IPS,FWD,750033.0,George Hirst,surname_or_fuzzy_team,0.93,statfootdb_matched,8563.0,George Hirst,statfootdb,understat_np_xg
fplreview:554,554,Van Oevelen,IPS,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:300,300,Walton,IPS,GKP,512013.0,Christian Walton,surname_or_fuzzy_team,0.93,statfootdb_matched,9251.0,Christian Walton,statfootdb,understat_np_xg
fplreview:314,314,Ogbene,IPS,MID,674009.0,Chiedozie Ogbene,surname_or_fuzzy_team,0.93,statfootdb_matched,11719.0,Chiedozie Ogbene,statfootdb,understat_np_xg
fplreview:301,301,Palmer,IPS,GKP,643228.0,Alex Palmer,surname_or_fuzzy_team,0.93,statfootdb_matched,1038.0,Alex Palmer,statfootdb,understat_np_xg
fplreview:302,302,Button,IPS,GKP,,,,0.0,fplreview_only,,,,
fplreview:311,311,Burns,IPS,MID,421768.0,Wes Burns,surname_or_fuzzy_team,0.93,statfootdb_matched,12749.0,Wes Burns,statfootdb,understat_np_xg
fplreview:319,319,Szmodics,IPS,MID,491827.0,Sammie Szmodics,surname_or_fuzzy_team,0.93,statfootdb_matched,12752.0,Sammie Szmodics,statfootdb,understat_np_xg
